sampleTimeStamp.microseconds;calculatedSteeringAngle;
1584543205216350;-0.222856;
1584543205314628;-0.212826;
1584543205414961;0;
1584543205514628;0;
1584543205615231;0;
1584543205716541;0;
1584543205814545;-0.811193;
1584543205914544;-0.403999;
1584543206014652;-0.482519;
1584543206114673;0;
1584543206216205;-0.431221;
1584543206314577;0.254077;
1584543206414660;-0.609454;
1584543206514348;0;
1584543206615269;0.746939;
1584543206716049;0.801342;
1584543206814354;0.676713;
1584543206914460;0;
1584543207014281;0.619755;
1584543207114232;-0.120306;
1584543207216106;-0.439191;
1584543207314220;-0.329052;
1584543207414209;0.135479;
1584543207514371;-0.51009;
1584543207614867;0.0634019;
1584543207719358;0.0197493;
1584543207814532;0.169275;
1584543207914322;-0.0328088;
1584543208014230;0.156422;
1584543208114281;-0.0054696;
1584543208215711;0.119761;
1584543208314128;0;
1584543208414476;0.0228102;
1584543208514247;0;
1584543208614928;0;
1584543208715938;0.102733;
1584543208814242;0;
1584543208914031;0;
1584543209014119;0;
1584543209114228;0;
1584543209219230;0.740546;
1584543209316587;-0.143814;
1584543209414331;-0.76293;
1584543209514123;0;
1584543209614674;0;
1584543209715934;-0.193741;
1584543209814030;0;
1584543209914237;0;
1584543210014049;0;
1584543210114024;0;
1584543210216034;0;
1584543210313778;-0.321612;
1584543210413910;0;
1584543210514352;0;
1584543210614384;0;
1584543210715709;0;
1584543210813902;0;
1584543210914054;0;
1584543211014074;0;
1584543211114027;-0.19113;
1584543211215890;-0.212912;
1584543211313767;0;
1584543211413817;-0.142159;
1584543211513502;0;
1584543211614194;-0.106698;
1584543211715679;-0.0988266;
1584543211813542;-0.185106;
1584543211913574;-0.0952002;
1584543212014064;-0.086308;
1584543212113414;-0.0407113;
1584543212215670;-0.0982528;
1584543212314462;-0.132405;
1584543212413403;-0.0739168;
1584543212513698;-0.0625034;
1584543212614208;-0.0905536;
1584543212716100;0;
1584543212813596;0;
1584543212913546;0;
1584543213013474;0;
1584543213113176;0;
1584543213215946;0;
1584543213313755;0;
1584543213413288;0;
1584543213513282;0;
1584543213616985;0;
1584543213715311;0;
1584543213813276;0;
1584543213913092;0;
1584543214013346;0;
1584543214113222;0;
1584543214215261;0;
1584543214312961;0;
1584543214416009;0;
1584543214513246;0;
1584543214613881;0;
1584543214715242;0;
1584543214813419;0;
1584543214913065;0;
1584543215013088;0;
1584543215112796;0;
1584543215218993;0;
1584543215313652;0;
1584543215412783;-0.29859;
1584543215512894;-0.300049;
1584543215613764;-0.232323;
1584543215715025;0;
1584543215812904;0;
1584543215913228;0;
1584543216015444;0;
1584543216115990;0;
1584543216215873;0;
1584543216313782;0;
1584543216412920;0;
1584543216513472;0;
1584543216613798;0;
1584543216715166;-0.211048;
1584543216812652;0;
1584543216912756;0;
1584543217012529;0;
1584543217112921;0;
1584543217214694;0;
1584543217312785;0;
1584543217412822;0;
1584543217512415;0;
1584543217615826;-0.0903948;
1584543217714941;-0.103284;
1584543217812656;-0.0334682;
1584543217912243;-0.04895;
1584543218012442;-0.0730576;
1584543218112218;0;
1584543218214340;0;
1584543218312531;0;
1584543218412537;0;
1584543218512110;0;
1584543218612925;0;
1584543218714591;0;
1584543218812368;0;
1584543218912191;0;
1584543219012052;0;
1584543219112362;0;
1584543219214256;0;
1584543219312502;0;
1584543219412444;0;
1584543219512182;0;
1584543219613237;0;
1584543219713912;0;
1584543219812187;0;
1584543219915037;0;
1584543220011805;0;
1584543220112125;0;
1584543220214143;0;
1584543220311719;0;
1584543220411889;0;
1584543220511735;0;
1584543220612369;0;
1584543220717907;0;
1584543220811925;0;
1584543220911619;0;
1584543221011773;0;
1584543221111578;0;
1584543221213655;0;
1584543221311700;0;
1584543221411545;-0.212505;
1584543221511552;0;
1584543221612551;-0.190108;
1584543221713555;-0.528153;
1584543221811545;0;
1584543221911641;0;
1584543222011470;-0.152551;
1584543222111426;0;
1584543222213620;-0.135232;
1584543222311440;-0.154463;
1584543222411596;0;
1584543222511613;0;
1584543222612258;0;
1584543222713426;-0.168584;
1584543222811474;0;
1584543222911478;0;
1584543223011303;-0.0385064;
1584543223111440;-0.155449;
1584543223213377;0;
1584543223311403;-0.121792;
1584543223411469;-0.111738;
1584543223511565;-0.113099;
1584543223615264;-0.17354;
1584543223714025;-0.108082;
1584543223811339;-0.143593;
1584543223911628;-0.119908;
1584543224012072;-0.133925;
1584543224111178;-0.127677;
1584543224213779;-0.174472;
1584543224311264;-0.19692;
1584543224411274;-0.133245;
1584543224511072;0;
1584543224611813;-0.063905;
1584543224712650;-0.116336;
1584543224810880;-0.634349;
1584543224911098;0;
1584543225010843;-0.0613726;
1584543225110918;-0.140362;
1584543225212779;-0.13134;
1584543225311127;-0.171917;
1584543225410896;-0.155615;
1584543225511004;-0.20487;
1584543225611494;-0.207387;
1584543225712681;-0.192653;
1584543225813764;-0.232473;
1584543225911023;-0.207387;
1584543226011044;0;
1584543226110867;-0.262948;
1584543226212740;0;
1584543226310639;-0.21218;
1584543226410831;-0.443097;
1584543226510587;-0.404622;
1584543226611344;-0.360274;
1584543226712603;0;
1584543226810541;0;
1584543226910469;-0.733499;
1584543227010694;0;
1584543227110427;0;
1584543227212388;0;
1584543227310623;0;
1584543227410379;0;
1584543227510352;0;
1584543227611736;0;
1584543227712318;0;
1584543227810585;0;
1584543227910464;0;
1584543228010310;-0.140362;
1584543228110658;0;
1584543228212906;0;
1584543228310326;-0.0765065;
1584543228410569;-0.0679788;
1584543228510487;-0.0826996;
1584543228610875;0.401009;
1584543228715870;0.165044;
1584543228810895;0.145345;
1584543228910154;0.0357633;
1584543229010074;0.21541;
1584543229110313;0.385007;
1584543229211828;0;
1584543229310142;0.128043;
1584543229410367;0;
1584543229513031;-0.00338357;
1584543229614049;0.00271542;
1584543229712498;0.0494301;
1584543229809973;0.233177;
1584543229910212;0;
1584543230010202;0;
1584543230110286;0;
1584543230211871;0;
1584543230310003;0;
1584543230413384;0;
1584543230509983;0;
1584543230611153;0;
1584543230711896;0;
1584543230809784;0;
1584543230909976;0;
1584543231009815;0;
1584543231109645;0;
1584543231211873;0;
1584543231309709;0;
1584543231409659;0;
1584543231509845;0;
1584543231610248;0;
1584543231711684;0;
1584543231809698;0;
1584543231912139;0;
1584543232009600;0;
1584543232109745;0;
1584543232212094;0;
1584543232309636;0;
